;AZ2;AZ2;AZ2;AZ2;AZ1;AZ1;AZ1;AZ1;IF2;IF2;IF2;IF2;IF3;IF3;IF3;IF3;KHt;KHt;KHt;KHt;MK1;MK1;MK1;MK1;SK1;SK1;SK1;SK1;SK2;SK2;SK2;SK2;SK4;SK4;SK4;SK4
1;768;809;806;771;762;759;778;779;1162;1184;1184;1170;874;815;815;779;620;647;700;687;1265;1280;1275;1254;1290;1308;1290;1317;1095;1071;1104;1317;1053;1036;1036;1051
2;779;813;806;774;764;761;776;771;1165;1187;1188;1169;875;804;806;783;614;659;704;683;1270;1285;1274;1248;1290;1311;1294;1318;1101;1077;1096;1318;1049;1028;1046;1050
3;770;809;813;777;766;759;785;775;1159;1182;1178;1166;876;819;813;784;631;661;700;680;1266;1284;1271;1247;1291;1312;1295;1317;1104;1077;1087;1317;1046;1036;1047;1060
4;769;805;814;769;759;762;786;777;1160;1184;1175;1167;876;821;813;781;629;659;706;696;1264;1283;1274;1248;1290;1309;1292;1319;1099;1073;1100;1319;1041;1044;1047;1051
5;775;807;806;772;759;756;779;784;1167;1187;1183;1168;879;810;808;778;604;660;713;690;1267;1285;1273;1250;1289;1308;1293;1322;1098;1076;1097;1322;1042;1033;1047;1046
6;771;811;808;777;770;755;782;785;1167;1180;1183;1164;880;818;813;776;613;655;700;675;1271;1283;1270;1248;1293;1313;1296;1317;1101;1078;1091;1317;1046;1030;1047;1056
7;773;816;808;777;766;758;793;782;1165;1183;1183;1168;878;823;816;782;632;660;724;681;1272;1284;1270;1251;1292;1313;1296;1316;1103;1079;1105;1316;1056;1038;1046;1058
8;785;812;805;779;763;763;792;780;1170;1190;1188;1174;882;815;814;780;624;660;738;690;1272;1284;1270;1255;1290;1312;1298;1320;1098;1087;1099;1320;1051;1033;1040;1056
9;777;811;806;780;771;759;791;785;1166;1194;1182;1173;881;821;819;781;610;659;725;675;1268;1283;1269;1251;1292;1311;1297;1318;1100;1081;1083;1318;1045;1035;1041;1056
10;773;810;809;775;760;761;790;781;1163;1192;1179;1172;879;828;816;782;618;650;720;676;1269;1282;1274;1252;1292;1312;1291;1316;1096;1070;1096;1316;1059;1034;1041;1048
11;783;809;809;779;758;768;787;779;1162;1192;1183;1173;880;818;813;785;618;662;740;686;1269;1285;1277;1255;1288;1311;1293;1322;1101;1074;1107;1322;1057;1033;1041;1045
12;773;816;812;782;764;770;789;782;1164;1189;1186;1172;877;818;822;781;621;655;726;683;1267;1286;1275;1254;1292;1313;1294;1320;1100;1081;1091;1320;1047;1036;1051;1054
13;773;820;812;777;755;762;792;784;1161;1188;1182;1170;878;824;819;786;623;655;727;693;1268;1287;1278;1254;1293;1314;1293;1317;1102;1071;1103;1317;1055;1040;1052;1053
14;783;816;809;784;764;759;786;780;1163;1192;1186;1167;883;819;808;782;633;659;742;707;1269;1287;1278;1260;1291;1313;1293;1320;1106;1071;1111;1320;1058;1033;1042;1057
15;776;814;808;783;774;766;784;784;1166;1188;1185;1166;880;821;811;781;627;654;728;699;1270;1282;1278;1255;1293;1312;1296;1319;1104;1076;1099;1319;1046;1032;1043;1060
16;777;820;811;777;759;762;792;784;1167;1185;1186;1166;877;825;814;785;617;654;715;692;1273;1282;1279;1252;1295;1312;1296;1315;1100;1075;1105;1315;1056;1035;1055;1055
17;789;817;809;785;761;756;788;790;1165;1186;1188;1169;880;820;812;785;622;669;728;700;1274;1285;1280;1256;1292;1314;1297;1318;1105;1073;1111;1318;1060;1042;1049;1054
18;781;819;816;784;776;764;781;796;1165;1189;1190;1170;879;817;820;788;632;661;718;699;1268;1285;1276;1253;1293;1315;1298;1320;1111;1077;1094;1320;1047;1050;1047;1060
19;775;818;816;778;767;771;786;791;1164;1191;1187;1172;876;820;824;796;625;663;714;705;1270;1286;1280;1250;1295;1317;1296;1317;1108;1076;1093;1317;1060;1044;1056;1064
20;791;812;812;779;767;769;794;790;1162;1192;1189;1173;880;822;820;792;636;673;733;713;1269;1287;1281;1254;1294;1312;1298;1322;1112;1083;1106;1322;1055;1041;1048;1063
21;785;816;814;782;776;769;786;796;1165;1187;1189;1170;883;825;822;791;652;672;729;701;1267;1287;1280;1253;1295;1314;1299;1325;1105;1084;1100;1325;1039;1045;1052;1058
22;781;824;817;777;772;766;788;795;1162;1184;1186;1172;880;829;823;802;655;666;709;701;1268;1287;1281;1252;1296;1319;1295;1321;1099;1083;1102;1321;1049;1045;1061;1052
23;789;817;816;786;772;759;794;793;1163;1190;1189;1176;883;823;819;806;642;669;728;717;1273;1292;1280;1256;1293;1318;1297;1324;1105;1085;1108;1324;1061;1042;1054;1061
24;782;819;818;783;781;767;795;794;1164;1191;1187;1176;887;824;826;797;647;674;729;698;1270;1292;1279;1258;1294;1314;1302;1325;1109;1086;1101;1325;1050;1050;1051;1066
25;783;821;823;780;781;769;793;794;1166;1190;1188;1174;887;828;828;796;635;680;714;692;1272;1288;1280;1256;1299;1314;1301;1320;1096;1086;1100;1320;1059;1051;1065;1061
26;792;820;816;784;783;771;804;794;1165;1191;1192;1176;883;825;824;795;641;684;731;715;1273;1289;1279;1261;1299;1315;1301;1323;1104;1090;1111;1323;1060;1046;1058;1061
27;790;822;818;784;782;780;806;797;1169;1193;1191;1174;886;826;823;793;652;676;731;713;1270;1287;1276;1259;1296;1315;1303;1325;1112;1087;1102;1325;1053;1046;1057;1060
28;785;827;819;784;770;784;802;799;1170;1193;1190;1176;893;834;832;799;646;687;715;700;1270;1284;1284;1261;1295;1322;1301;1323;1102;1080;1102;1323;1068;1042;1063;1059
29;796;826;818;793;773;775;809;802;1167;1198;1195;1182;892;838;831;799;643;690;734;710;1274;1288;1281;1265;1300;1320;1301;1326;1104;1086;1109;1326;1067;1041;1057;1065
30;794;829;824;790;780;778;813;799;1170;1200;1193;1181;893;841;829;797;652;677;746;708;1276;1292;1277;1264;1301;1318;1302;1329;1118;1088;1101;1329;1058;1048;1057;1066
31;798;824;831;791;783;781;808;791;1171;1196;1191;1175;898;845;831;802;637;679;720;705;1277;1292;1282;1261;1302;1319;1303;1326;1114;1083;1098;1326;1063;1046;1067;1059
32;804;826;821;799;789;780;808;794;1175;1196;1199;1181;900;836;830;802;628;688;736;728;1279;1294;1290;1265;1301;1323;1302;1330;1106;1088;1114;1330;1064;1042;1061;1072
33;791;835;822;795;785;781;812;796;1180;1200;1199;1185;897;833;833;797;646;685;755;726;1278;1295;1283;1265;1303;1320;1301;1330;1115;1092;1110;1330;1062;1051;1063;1078
34;787;837;830;791;785;782;808;792;1183;1200;1196;1179;900;843;835;802;647;685;731;706;1280;1290;1282;1260;1304;1322;1302;1325;1115;1086;1107;1325;1074;1056;1069;1066
35;801;834;823;802;790;777;810;797;1181;1198;1195;1182;898;841;833;803;632;691;732;721;1281;1291;1285;1261;1302;1326;1305;1328;1108;1084;1110;1328;1071;1050;1059;1072
36;797;838;822;800;788;778;813;799;1181;1201;1194;1186;899;833;834;799;648;684;759;727;1277;1291;1284;1265;1299;1325;1302;1328;1116;1088;1111;1328;1063;1054;1064;1084
37;791;833;829;795;786;783;807;803;1182;1204;1193;1180;899;842;836;803;645;689;732;709;1277;1291;1283;1261;1299;1326;1301;1321;1118;1086;1107;1321;1068;1054;1071;1077
38;798;832;827;800;797;783;811;809;1180;1199;1198;1178;904;847;838;809;646;691;734;728;1279;1295;1285;1264;1301;1329;1306;1329;1121;1091;1120;1329;1064;1052;1065;1080
39;800;836;829;806;786;779;819;810;1181;1200;1198;1190;906;837;835;803;660;689;759;735;1279;1298;1286;1268;1302;1327;1309;1334;1120;1096;1118;1334;1064;1059;1068;1091
